LIFEFORM,FAMILY,GENUS,SPECIES,SP6,sp,abscised_seeds,viable_seeds,total_seeds,proportion_abscised,sum_part1,sum_part2,sum_part5,n_traps,n_years
MIDSTORY,Ulmaceae,Trema,micrantha,TREMMI,TREM,36532,17714,54246,0.673450577,13888,3826,36532,61,30
LIANA,Fabaceae,Entada,gigas,ENTAMO,ENTM,260,126.4,386.4,0.672877847,6,64,25,21,21
UNDERSTORY,Combretaceae,Terminalia,oblonga,TERMOB,TERO,2777,1355,4132,0.672071636,1335,20,2777,126,33
TREE,Meliaceae,Guarea,grandifolia,GUARGR,GUA1,3263.4,1783.6,5047,0.646601942,152,940,588,77,33
UNDERSTORY,Myrtaceae,Eugenia,nesiotica,EUGENE,EUGN,235.47,133.63,369.1,0.637957193,43,73,167,35,21
LIANA,Connaraceae,Cnestidium,rufescens,CNESRU,CNER,39,23,62,0.629032258,9,14,39,8,7
MIDSTORY,Meliaceae,Trichilia,pallida,TRI2PA,TRI1,2234.386667,1387.92,3622.306667,0.616840834,588,502,1483,70,26
MIDSTORY,Annonaceae,Unonopsis,pittieri,UNONPI,UNOP,2027,1283,3310,0.612386707,1058,225,2027,74,33
TREE,Anacardiacea,Astronium,graveolens,AST2GR,ASTG,423,273,696,0.607758621,263,10,423,38,20
TREE,Euphorbiacea,Drypetes,standleyi,DRYPST,DRYS,2268,1478,3746,0.605445809,576,902,2268,106,28
TREE,Elaeocarpace,Sloanea,terniflora,SLOATE,SLOT,1254,820,2074,0.604628737,539,281,1254,41,30
LIANA,Hippocrateac,Prionostemma,aspera,PRI1AS,PRIA,1038.7,692.3,1731,0.60005777,9,650,221,115,32
TREE,Lauraceae,Ocotea,whitei,OCOTWH,OCOS,252,169,421,0.598574822,113,56,252,28,24
TREE,Sapotaceae,Pouteria,stipitata,POUTST,POU2,20.65,13.9,34.55,0.597684515,4,8,14,7,12
MIDSTORY,Polygonaceae,Triplaris,cumingiana,TRIPCU,TRIC,3545,2455,6000,0.590833333,2450,5,3545,73,31
MIDSTORY,Moraceae,Maquira,guianensis,MAQUCO,MAQC,10,7,17,0.588235294,2,5,10,6,5
TREE,Tiliaceae,Apeiba,tibourbou,APEITI,APET,4342.543333,3162.816667,7505.36,0.578592277,5,61,7,21,4
LIANA,Convolvulace,Maripa,panamensis,MAR2PA,MARP,2332.63718,1717.540064,4050.177244,0.575934592,235,1103,892,207,32
LIANA,Bignoniaceae,Ceratophytum,tetragonolob,CERATE,CERT,495,376,871,0.568312285,1,211,3,57,27
LIANA,Apocynaceae,Odontadenia,puncticulosa,ODO1PU,ODOP,23.5,18,41.5,0.56626506,0,18,1,15,10
TREE,Bombacaceae,Cavanillesia,platanifolia,CAVAPL,CAVP,81,63,144,0.5625,62,1,81,21,18
