LIFEFORM,FAMILY,GENUS,SPECIES,SP6,sp,abscised_seeds,viable_seeds,total_seeds,proportion_abscised,sum_part1,sum_part2,sum_part5,n_traps,n_years
TREE,Moraceae,Ficus,insipida,FICUIN,FIIN,5790,25397.6,31187.6,0.185650707,81,6638,25,159,29
TREE,Apocynaceae,Aspidosperma,spruceanum,ASPICR,ASPC,19.55555556,89,108.5555556,0.180143296,0,89,3,26,19
TREE,Lauraceae,Cinnamomum,triplinerve,PHOECI,PHOM,68,313,381,0.17847769,93,220,68,59,16
LIANA,Bignoniaceae,Arrabidaea,patellifera,ARRAPA,ARRP,284.75,1338.25,1623,0.175446704,27,886,17,106,28
MIDSTORY,Polygonaceae,Coccoloba,manzinellens,COCCMA,COCM,7,33,40,0.175,3,30,7,22,14
SHRUB,Rubiaceae,Hamelia,axillaris,HAMEAX,HAM1,1.85,10.55,12.4,0.149193548,3,5,1,5,4
MIDSTORY,Annonaceae,Annona,spraguei,ANNOSP,ANNS,1387.683334,8002.01389,9389.697224,0.147787868,25,2220,6,56,25
LIANA,Menispermace,Abuta,racemosa,ABUTRA,ABUR,27,162,189,0.142857143,7,155,27,83,29
TREE,Boraginaceae,Cordia,alliodora,CORDAL,CORA,1699,10991,12690,0.133884949,10656,335,1699,188,32
MIDSTORY,Chrysobalana,Licania,hypoleuca,LICAHY,LICH,2,15,17,0.117647059,6,9,2,5,7
UNDERSTORY,Fabaceae:Pap,Swartzia,simplex_var.,SWARS2,SWA2,12.96,100.44,113.4,0.114285714,18,81,12,55,28
LIANA,Connaraceae,Connarus,panamensis,CONNPA,CONP,1,8,9,0.111111111,1,7,1,8,5
MIDSTORY,Annonaceae,Mosannona,garwoodii,MALMSP,CRES,20,169,189,0.105820106,21,148,20,86,29
LIANA,Fabaceae,Entadopsis,polystachya,ADE4PO,ADEP,9.488095238,83,92.48809524,0.102587206,0,83,1,11,27
UNDERSTORY,Myrtaceae,Myrcia,gatunensis,MYRCGA,MYRG,2,21,23,0.086956522,0,21,2,11,7
LIANA,Verbenaceae,Aegiphila,elata,AEGIEL,AEGE,28.8,344.8,373.6,0.077087794,19,284,9,57,16
LIANA,Gnetaceae,Gnetum,leyboldii,GNETLE,GNEL,1,12,13,0.076923077,4,8,1,13,11
UNDERSTORY,Rubiaceae,Alseis,blackiana,ALSEBL,ALSB,294648.6667,3600262.667,3894911.334,0.075649647,143319,319850,12873,338,33
LIANA,Dilleniaceae,Davilla,nitida,DAVINI,DAVN,238,3000,3238,0.073502162,522,2478,238,229,25
LIANA,Bignoniaceae,Arrabidaea,candicans,ARRACA,ARR1,58.25,752.75,811,0.071824908,6,578,2,107,24
SHRUB,Rubiaceae,Psychotria,horizontalis,PSYCHO,PYHO,360.36,4795.32,5155.68,0.069895727,926,3573,273,190,32
LIANA,Sapindaceae,Serjania,trachygona,SERJTR,SERT,6,127,133,0.045112782,126,1,6,19,10
MIDSTORY,Myrtaceae,Eugenia,galalonensis,EUGEGA,EUGG,2.08,47.12,49.2,0.042276423,3,44,2,29,14
SHRUB,Rubiaceae,Psychotria,hoffmannsegg,PSYCFU,PYFU,14.4,332.4,346.8,0.041522491,3,327,8,99,31
TREE,Fabaceae:Pap,Pterocarpus,rohrii,PTERRO,PTER,15.12,362.4,377.52,0.040050858,330,6,14,16,18
UNDERSTORY,Sapindaceae,Allophylus,psilospermus,ALLOPS,ALLP,6,146,152,0.039473684,2,144,6,42,18
TREE,Bignoniaceae,Tabebuia,rosea,TAB1RO,TABR,301.2,7759.8,8061,0.037365091,6,7308,4,273,32
UNDERSTORY,Moraceae,Trophis,caucana,OLMEAS,OLMA,2,53,55,0.036363636,3,50,2,17,12
TREE,Lauraceae,Ocotea,puberula,OCOTPU,OCOP,14,412,426,0.03286385,21,391,14,130,26
TREE,Burseraceae,Trattinnicki,aspera,TRATAS,TRAA,24,715,739,0.032476319,34,681,24,164,32
UNDERSTORY,Polygonaceae,Coccoloba,coronata,COCCCO,COCC,2,71,73,0.02739726,6,65,2,40,15
LIANA,Bignoniaceae,Cydista,aequinoctial,CYDIAE,CYDA,26.08333333,985.3333333,1011.416667,0.02578891,4,881,1,143,33
LIANA,Dilleniaceae,Tetracera,portobellens,TET1PO,TET1,1,41,42,0.023809524,5,36,1,25,8
LIANA,Menispermace,Chondrodendr,tomentosum,CHONTO,CHOT,1,64,65,0.015384615,10,54,1,30,15
MIDSTORY,Lauraceae,Ocotea,cernua,OCOTCE,OCOC,3,258,261,0.011494253,13,245,3,121,29
TREE,Cecropiaceae,Pourouma,bicolor,POURBI,POUB,1,102,103,0.009708738,0,102,1,41,22
LIANA,Bignoniaceae,Paragonia,pyramidata,PAR1PY,PARP,5,2035,2040,0.00245098,6,2020,2,113,32
LIANA,Bignoniaceae,Macfadyena,unguis-cati,MACFUN,MACU,3,2636,2639,0.001136794,5,2621,1,169,32
SHRUB,Rubiaceae,Alibertia,edulis,ALIBED,ALIE,0,98,98,0,0,98,0,10,7
SHRUB,Rubiaceae,Amaioua,corymbosa,AMAICO,AMAC,0,2,2,0,0,2,0,1,1
UNDERSTORY,Annonaceae,Annona,hayesii,ANNOHA,ANNH,0,30,30,0,0,30,0,5,3
TREE,Rubiaceae,Pittoniotis,trichantha,ANTITR,ANTT,0,18,18,0,0,18,0,7,3
SHRUB,Myrsinaceae,Ardisia,bartlettii,ARDIBA,ARDB,0,14,14,0,0,14,0,8,9
SHRUB,Myrsinaceae,Ardisia,fendleri,ARDIFE,ARDF,0,6,6,0,0,6,0,5,5
LIANA,Bignoniaceae,Arrabidaea,verrucosa,ARRAVE,ARRV,0,378.8,378.8,0,3,338,0,74,23
UNDERSTORY,Arecaceae,Bactris,coloradonis,BACTC2,BAC2,0,2,2,0,0,2,0,2,2
TREE,Bombacaceae,Pachira,sessilis,POCHSE,BOMS,0,14,14,0,0,14,0,5,9
SHRUB,Flacourtiace,Casearia,guianensis,CASEGU,CASG,0,82,82,0,10,12,0,2,4
TREE,Meliaceae,Cedrela,odorata,CEDROD,CEDO,0,19,19,0,0,19,0,17,10
TREE,Ochnaceae,Cespedesia,spathulata,CESPMA,CES1,0,226,226,0,0,226,0,28,9
UNDERSTORY,Arecaceae,Desmoncus,orthacanthos,DES1OR,DESI,0,6,6,0,0,6,0,4,4
MIDSTORY,Fabaceae:Cae,Dialium,guianense,DIALGU,DIAG,0,24,24,0,0,24,0,2,2
LIANA,Dilleniaceae,Doliocarpus,dentatus,DOLIDE,DOLD,0,1,1,0,1,0,0,1,1
SHRUB,Erythroxylac,Erythroxylum,panamense,ERY2PA,ERYP,0,2,2,0,0,2,0,2,1
MIDSTORY,Annonaceae,Guatteria,amplifolia,GUATAM,GUAA,0,11,11,0,1,10,0,6,6
UNDERSTORY,Malvaceae,Hampea,appendiculat,HAMPAP,HAM2,0,286,286,0,1,285,0,106,32
LIANA,Hippocrateac,Hylenaea,praecelsa,HYLEPR,HYLP,0,2,2,0,0,2,0,1,2
MIDSTORY,Fabaceae:Mim,Inga,ruiziana,INGARU,INFA,0,25,25,0,0,25,0,18,10
UNDERSTORY,Fabaceae:Mim,Inga,punctata,INGAPU,INPU,0,26,26,0,0,26,0,15,3
UNDERSTORY,Fabaceae:Mim,Inga,nobilis,INGAQU,INQU,0,22.11111111,22.11111111,0,1,11,0,9,8
SHRUB,Solanaceae,Lycianthes,maxonii,LYCIMA,LYCM,0,1,1,0,0,1,0,1,1
UNDERSTORY,Rubiaceae,Macrocnemum,roseum,MACRGL,MACG,0,12217.8,12217.8,0,91,315,0,4,10
MIDSTORY,Lauraceae,Nectandra,purpurea,NECTPU,NECP,0,2,2,0,0,2,0,2,2
TREE,Bombacaceae,Ochroma,pyramidale,OCHRPY,OCHP,0,920,920,0,0,920,0,86,25
LIANA,Apocynaceae,Odontadenia,macrantha,ODO1MA,ODOM,0,11,11,0,0,11,0,9,5
LIANA,Sapindaceae,Paullinia,pinnata,PAULPI,PAU5,0,3,3,0,0,3,0,3,3
SHRUB,Rubiaceae,Pentagonia,macrophylla,PENTMA,PENM,0,93,93,0,0,93,0,9,7
LIANA,Apocynaceae,Prestonia,portobellens,PRESPO,PREP,0,96.25,96.25,0,1,38,0,28,19
UNDERSTORY,Myrtaceae,Psidium,friedrichsth,PSIDFR,PSIF,0,6,6,0,0,6,0,2,2
SHRUB,Rubiaceae,Psychotria,brachybotrya,PSYCB2,PYB2,0,1,1,0,0,1,0,1,1
SHRUB,Rubiaceae,Psychotria,deflexa,PSYCDE,PYDE,0,32.64,32.64,0,3,27,0,16,8
SHRUB,Rubiaceae,Psychotria,tenuifolia,PSYCG2,PYG2,0,13,13,0,0,13,0,6,5
SHRUB,Rubiaceae,Psychotria,grandis,PSYCG3,PYG3,0,35,35,0,0,35,0,22,10
SHRUB,Rubiaceae,Psychotria,limonensis,PSYCLI,PYLI,0,22.2,22.2,0,4,15,0,11,6
SHRUB,Rubiaceae,Psychotria,psychotriifo,PSYCPS,PYPS,0,1,1,0,0,1,0,1,1
SHRUB,Rubiaceae,Psychotria,racemosa,PSYCRA,PYRA,0,596.4,596.4,0,45,465,0,56,17
TREE,Araliaceae,Schefflera,morototoni,SCH2MO,SCHM,0,726,726,0,13,700,0,89,25
UNDERSTORY,Malpighiacea,Spachea,membranacea,SPACME,SPAM,0,8,8,0,0,8,0,6,5
TREE,Sterculiacea,Sterculia,apetala,STERAP,STEA,0,44,44,0,0,44,0,27,14
LIANA,Bignoniaceae,Stizophyllum,riparium,STIZRI,STIR,0,245.8,245.8,0,6,223,0,47,29
UNDERSTORY,Myrsinaceae,Stylogyne,turbacensis,STYLST,STYS,0,32,32,0,2,30,0,27,12
TREE,Anacardiacea,Tapirira,guianensis,TAPIGU,TAPG,0,1,1,0,0,1,0,1,1
SHRUB,Apocynaceae,Thevetia,ahouai,THEVAH,THEA,0,1,1,0,0,1,0,1,1
UNDERSTORY,Rubiaceae,Tocoyena,pittieri,TOCOPI,TOCP,0,58,58,0,0,58,0,24,17
UNDERSTORY,Staphyleacea,Turpinia,occidentalis,TURPOC,TURO,0,223,223,0,8,191,0,33,16
SHRUB,Asteraceae,Vernonanthur,patens,VERNPA,VERP,0,28.48,28.48,0,1,8,0,7,2
LIANA,Vitaceae,Vitis,tiliifolia,VITITI,VITT,0,49.52,49.52,0,11,24,0,15,9
UNDERSTORY,Flacourtiace,Xylosma,oligandra,XYL2OL,XYLO,0,24.2,24.2,0,4,17,0,4,2
