LIFEFORM,FAMILY,GENUS,SPECIES,sp,SP6,sum_part1,sum_part2,sum_part5,n_years,n_traps,total_seeds_sum,proportion_abscised_median,proportion_abscised_mean
UNDERSTORY,Sapindaceae,Cupania,rufescens,CUPR,CUPARU,NA,47,7,17,31,26,0.27443609,0.27443609
SHRUB,Rubiaceae,Psychotria,hoffmannsegg,PYFU,PSYCFU,3,327,8,31,99,26,0.333333333,0.404761905
LIANA,Sapindaceae,Serjania,paucidentata,SER3,SERJPA,26,NA,9,5,7,25,0.24,0.24
MIDSTORY,Lauraceae,Ocotea,cernua,OCOC,OCOTCE,13,245,3,29,121,21,0.142857143,0.142857143
LIANA,Aristolochia,Aristolochia,tonduzii,ARIC,ARISTO,NA,92,1,21,30,17,0.058823529,0.058823529
LIANA,Sapindaceae,Paullinia,pterocarpa,PAU6,PAULPT,1,8,7,4,2,16,0.45,0.454166667
TREE,Burseraceae,Protium,panamense,PROP,PROTPA,2,44,16,18,38,15,0.5,0.509259259
LIANA,Sapindaceae,Paullinia,bracteosa,PAU2,PAULBR,4,15,16,10,9,14,0.651515152,0.651515152
TREE,Flacourtiace,Zuelania,guidonia,ZUEG,ZUELGU,8,28,2,13,16,13,0.153846154,0.153846154
LIANA,Combretaceae,Combretum,fruticosum,COMF,COMBFR,7,NA,7,6,7,12,0.416666667,0.416666667
TREE,Flacourtiace,Tetrathylaci,johansenii,TETJ,TET4JO,10,5,38,14,9,10,0.625,0.625
TREE,Moraceae,Brosimum,utile,BROU,BROSUT,1,11,4,4,5,9,0.333333333,0.333333333
UNDERSTORY,Sapindaceae,Cupania,latifolia,CUPL,CUPALA,NA,38,5,18,31,7,0.714285714,0.714285714
MIDSTORY,Myrtaceae,Eugenia,galalonensis,EUGG,EUGEGA,3,44,2,14,29,7,0.35,0.35
LIANA,Fabaceae,Dioclea,wilsonii,DIOW,DIOCWI,3,5,12,13,6,6,0.5,0.5
LIANA,Bignoniaceae,Pleonotoma,variabilis,PLEV,PLEOVA,NA,88,1,22,46,6,0.166666667,0.166666667
LIANA,Fabaceae,Machaerium,seemanii,MACS,MACHSE,9,NA,4,5,5,5,0.6,0.6
MIDSTORY,Moraceae,Maquira,guianensis,MAQC,MAQUCO,2,5,10,5,6,5,0.8,0.8
LIANA,Euphorbiacea,Omphalea,diandra,OMPD,OMPHDI,5,1,31,20,7,5,0.416666667,0.416666667
LIANA,Polygalaceae,Securidaca,diversifolia,SECD,SECUDI,5,2,3,4,5,5,0.4,0.4
UNDERSTORY,Annonaceae,Annona,acuminata,ANNA,ANNOAC,NA,91,1,10,14,4,0.25,0.25
UNDERSTORY,Polygonaceae,Coccoloba,coronata,COCC,COCCCO,6,65,2,15,40,4,0.5,0.5
SHRUB,Rubiaceae,Hamelia,axillaris,HAM1,HAMEAX,3,5,1,4,5,4,0.25,0.25
SHRUB,Rubiaceae,Psychotria,chagrensis,PYCH,PSYCCH,NA,2,3,2,4,4,0.75,0.75
UNDERSTORY,Arecaceae,Bactris,major,BACM,BACTMA,1,1,2,2,2,3,0.666666667,0.666666667
MIDSTORY,Polygonaceae,Coccoloba,manzinellens,COCM,COCCMA,3,30,7,14,22,3,0.666666667,0.666666667
MIDSTORY,Chrysobalana,Licania,hypoleuca,LICH,LICAHY,6,9,2,7,5,3,0.333333333,0.333333333
TREE,Cecropiaceae,Pourouma,bicolor,POUB,POURBI,NA,102,1,22,41,3,0.333333333,0.333333333
UNDERSTORY,Clusiaceae,Chrysochlamy,eclipes,TOVN,CHR1EC,3,4,6,9,6,3,0.666666667,0.666666667
LIANA,Menispermace,Chondrodendr,tomentosum,CHOT,CHONTO,10,54,1,15,30,2,0.5,0.5
LIANA,Connaraceae,Connarus,panamensis,CONP,CONNPA,1,7,1,5,8,2,0.5,0.5
LIANA,Gnetaceae,Gnetum,leyboldii,GNEL,GNETLE,4,8,1,11,13,2,0.5,0.5
LIANA,Sapindaceae,Serjania,cornigera,SER2,SERJCO,11,NA,2,5,6,2,0.5,0.5
LIANA,Dilleniaceae,Tetracera,portobellens,TET1,TET1PO,5,36,1,8,25,2,0.5,0.5
LIANA,Fabaceae,Entadopsis,polystachya,ADEP,ADE4PO,NA,83,1,27,11,0,NA,NA
SHRUB,Rubiaceae,Alibertia,edulis,ALIE,ALIBED,NA,98,NA,7,10,0,NA,NA
SHRUB,Rubiaceae,Amaioua,corymbosa,AMAC,AMAICO,NA,2,NA,1,1,0,NA,NA
UNDERSTORY,Annonaceae,Annona,hayesii,ANNH,ANNOHA,NA,30,NA,3,5,0,NA,NA
TREE,Rubiaceae,Pittoniotis,trichantha,ANTT,ANTITR,NA,18,NA,3,7,0,NA,NA
SHRUB,Myrsinaceae,Ardisia,bartlettii,ARDB,ARDIBA,NA,14,NA,9,8,0,NA,NA
SHRUB,Myrsinaceae,Ardisia,fendleri,ARDF,ARDIFE,NA,6,NA,5,5,0,NA,NA
LIANA,Bignoniaceae,Arrabidaea,verrucosa,ARRV,ARRAVE,3,338,NA,23,74,0,NA,NA
TREE,Apocynaceae,Aspidosperma,spruceanum,ASPC,ASPICR,NA,89,3,19,26,0,NA,NA
UNDERSTORY,Arecaceae,Bactris,coloradonis,BAC2,BACTC2,NA,2,NA,2,2,0,NA,NA
TREE,Bombacaceae,Pachira,sessilis,BOMS,POCHSE,NA,14,NA,9,5,0,NA,NA
MIDSTORY,Malpighiacea,Byrsonima,spicata,BYRS,BYRSSP,NA,7,NA,5,7,0,NA,NA
SHRUB,Flacourtiace,Casearia,guianensis,CASG,CASEGU,10,12,NA,4,2,0,NA,NA
TREE,Meliaceae,Cedrela,odorata,CEDO,CEDROD,NA,19,NA,10,17,0,NA,NA
TREE,Ochnaceae,Cespedesia,spathulata,CES1,CESPMA,NA,226,NA,9,28,0,NA,NA
SHRUB,Asteraceae,Chromolaena,odorata,CHRO,,8,31,NA,7,24,0,NA,NA
LIANA,Fabaceae,Clitoria,javitensis,CLIJ,CLITJA,NA,18,2,12,11,0,NA,NA
UNDERSTORY,Arecaceae,Desmoncus,orthacanthos,DESI,DES1OR,NA,6,NA,4,4,0,NA,NA
MIDSTORY,Fabaceae:Cae,Dialium,guianense,DIAG,DIALGU,NA,24,NA,2,2,0,NA,NA
LIANA,Dilleniaceae,Doliocarpus,dentatus,DOLD,DOLIDE,1,NA,NA,1,1,0,NA,NA
SHRUB,Fabaceae:Pap,Erythrina,costaricensi,ERYC,ERY1CO,NA,23,2,13,11,0,NA,NA
SHRUB,Erythroxylac,Erythroxylum,panamense,ERYP,ERY2PA,NA,2,NA,1,2,0,NA,NA
MIDSTORY,Annonaceae,Guatteria,amplifolia,GUAA,GUATAM,1,10,NA,6,6,0,NA,NA
UNDERSTORY,Malvaceae,Hampea,appendiculat,HAM2,HAMPAP,1,285,NA,32,106,0,NA,NA
SHRUB,Sterculiacea,Herrania,purpurea,HERP,HERRPU,NA,18,3,3,4,0,NA,NA
LIANA,Hippocrateac,Hylenaea,praecelsa,HYLP,HYLEPR,NA,2,NA,2,1,0,NA,NA
MIDSTORY,Fabaceae:Mim,Inga,ruiziana,INFA,INGARU,NA,25,NA,10,18,0,NA,NA
TREE,Fabaceae:Mim,Inga,multijuga,INM2,INGAM2,NA,NA,1,1,1,0,NA,NA
UNDERSTORY,Fabaceae:Mim,Inga,punctata,INPU,INGAPU,NA,26,NA,3,15,0,NA,NA
UNDERSTORY,Fabaceae:Mim,Inga,nobilis,INQU,INGAQU,1,11,NA,8,9,0,NA,NA
UNDERSTORY,Fabaceae:Mim,Inga,umbellifera,INUM,INGAUM,1,NA,3,3,3,0,NA,NA
TREE,Lythraceae,Lafoensia,punicifolia,LAFP,LAFOPU,NA,9,5,9,5,0,NA,NA
