LIFEFORM,FAMILY,GENUS,SPECIES,sp,SP6,sum_part1,sum_part2,sum_part5,n_years,n_traps,total_seeds_sum,proportion_abscised_median,proportion_abscised_mean
LIANA,Ulmaceae,Celtis,iguanaeus,CELI,CELTIG,259,1303,1476,30,143,2964,0.590361446,0.545395857
LIANA,Dilleniaceae,Davilla,nitida,DAVN,DAVINI,522,2478,238,25,229,2923,0.25,0.287204879
MIDSTORY,Arecaceae,Socratea,exorrhiza,SOCE,SOCREX,297,241,2332,32,60,2870,0.728112175,0.742092068
TREE,Bignoniaceae,Tabebuia,guayacan,TABG,TAB1GU,10,4964,18,29,159,2865,0.009302326,0.016376165
TREE,Anacardiacea,Spondias,mombin,SPOM,SPONMO,1347,394,1103,32,114,2825,0.401086957,0.408500161
LIANA,Hippocrateac,Hippocratea,volubilis,HIPV,HIPPVO,123,2362,344,33,135,2814,0.121323529,0.160462703
UNDERSTORY,Boraginaceae,Cordia,lasiocalyx,CORL,CORDLA,664,1067,899,32,187,2630,0.320134576,0.305118317
LIANA,Dilleniaceae,Doliocarpus,olivaceus,DOLO,DOLIOL,88,1596,939,32,155,2610,0.285714286,0.351334148
MIDSTORY,Meliaceae,Trichilia,pallida,TRI1,TRI2PA,588,502,1483,26,70,2526,0.618243243,0.559348876
LIANA,Convolvulace,Maripa,panamensis,MARP,MAR2PA,235,1103,892,32,207,2230,0.379280822,0.390851196
LIANA,Combretaceae,Combretum,decandrum,COMD,COMBDE,1119,3,1271,32,110,2211,0.652865449,0.569959504
UNDERSTORY,Myrtaceae,Eugenia,coloradoensi,EUGC,EUGECO,321,173,1684,26,58,2149,0.700636943,0.684040381
TREE,Fabaceae:Cae,Prioria,copaifera,PRIC,PRI2CO,661,9,1479,33,51,2148,0.704736941,0.689006828
UNDERSTORY,Rubiaceae,Randia,armata,RANA,RANDAR,53,4166,40,31,199,2053,0.022988506,0.051062371
TREE,Elaeocarpace,Sloanea,terniflora,SLOT,SLOATE,539,281,1254,30,41,2028,0.596846847,0.555391295
MIDSTORY,Cecropiaceae,Cecropia,obtusifolia,CECO,CECROB,9,2589,9,10,28,1963,0.005791506,0.006603328
TREE,Moraceae,Ficus,insipida,FIIN,FICUIN,81,6638,25,29,159,1826,0.016042781,0.12811308
LIANA,Combretaceae,Combretum,laxum,COML,COMBLA,1243,5,566,24,27,1801,0.285714286,0.387776172
LIANA,Bignoniaceae,Pithecocteni,crucigerum,PITC,PIT2CR,2,2219,81,33,173,1694,0.022727273,0.057992368
UNDERSTORY,Fabaceae:Mim,Inga,marginata,INMA,INGAMA,110,1528,143,32,203,1569,0.081632653,0.137579952
LIANA,Malpighiacea,Tetrapterys,discolor,TETD,TET3DI,807,7,686,32,75,1470,0.559139785,0.519742081
UNDERSTORY,Annonaceae,Desmopsis,panamensis,DESP,DES2PA,127,1322,109,33,220,1439,0.102362205,0.110109306
TREE,Meliaceae,Guarea,grandifolia,GUA1,GUARGR,152,940,588,33,77,1228,0.298245614,0.373098703
LIANA,Bignoniaceae,Amphilophium,paniculatum,AMPP,AMPHPA,1,2819,11,32,123,1220,0.008705155,0.014450708
TREE,Clusiaceae,Garcinia,intermedia,RHEE,GAR2IN,149,558,520,31,95,1180,0.355654762,0.44408946
SHRUB,Moraceae,Sorocea,affinis,SORA,SOROAF,169,979,363,29,189,1134,0.127901235,0.245950416
TREE,Fabaceae:Pap,Platymiscium,pinnatum,PLAP,PLA1PI,471,34,641,31,73,1125,0.68115942,0.606867882
LIANA,Fabaceae,Machaerium,isadelphum,MAC1,MACHM1,496,NA,640,19,33,1114,0.633779264,0.629963296
SHRUB,Flacourtiace,Casearia,sylvestris,CASS,CASESY,335,40,786,28,11,1101,0.763513514,0.669178484
TREE,Moraceae,Poulsenia,armata,POUA,POULAR,96,789,164,33,112,1041,0.203917051,0.233820304
LIANA,Sapindaceae,Serjania,decapleuria,SERD,SERJDE,758,37,518,31,23,1037,0.267748479,0.386695738
TREE,Bombacaceae,Ceiba,pentandra,CEIP,CEIBPE,5,1636,10,10,118,991,0.021222411,0.083926846
TREE,Anacardiacea,Spondias,radlkoferi,SPOR,SPONRA,317,526,205,32,115,967,0.211111111,0.226737633
LIANA,Malpighiacea,Stigmaphyllo,lindenianum,STIL,STIGLI,707,11,250,30,77,914,0.225396825,0.259591814
TREE,Apocynaceae,Tabernaemont,arborea,TABA,TAB2AR,37,1182,54,32,105,900,0.076923077,0.092575992
TREE,Bignoniaceae,Tabebuia,rosea,TABR,TAB1RO,6,7308,4,32,273,896,0.004435784,0.005446755
LIANA,Sapindaceae,Paullinia,fibrigera,PAUF,PAULFI,100,589,209,32,162,871,0.142857143,0.228704213
LIANA,Hippocrateac,Prionostemma,aspera,PRIA,PRI1AS,9,650,221,32,115,802,0.287309048,0.337579809
LIANA,Verbenaceae,Aegiphila,cephalophora,AEGC,AEGICE,135,918,176,31,116,783,0.1,0.183571429
MIDSTORY,Sterculiacea,Guazuma,ulmifolia,GUAU,GUAZUL,512,2,215,33,24,720,0.25,0.31815595
LIANA,Malpighiacea,Tetrapterys,tinifolia,TETM,TET3MA,514,5,245,28,31,716,0.333333333,0.343174886
TREE,Anacardiacea,Astronium,graveolens,ASTG,AST2GR,263,10,423,20,38,684,0.640762463,0.638393026
LIANA,Verbenaceae,Petrea,volubilis,PETA,PETRAS,446,3,232,32,94,678,0.326086957,0.35773728
UNDERSTORY,Sapindaceae,Cupania,seemannii,CUPS,CUPASY,42,435,210,17,50,676,0.375,0.364317826
MIDSTORY,Myristicacea,Virola,multiflora,VIR3,VIROSP,153,281,192,32,42,594,0.294117647,0.355748422
LIANA,Malpighiacea,Hiraea,smilacina,HIRQ,HIRAQU,431,1,138,21,59,558,0.5,0.455543904
LIANA,Sapindaceae,Paullinia,turbacensis,PAUT,PAULTU,36,412,200,32,135,549,0.30952381,0.350738074
LIANA,Apocynaceae,Forsteronia,viridescens,FORV,FORSVI,182,240,237,13,32,519,0.625,0.510146245
SHRUB,Solanaceae,Solanum,hayesii,SOLH,SOLAHA,43,1153,31,23,68,496,0.20754717,0.265146096
UNDERSTORY,Flacourtiace,Casearia,aculeata,CAS1,CASEAC,199,250,161,12,8,486,0.438095238,0.415008318
TREE,Lauraceae,Ocotea,oblonga,OCOO,OCOTOB,99,198,243,23,90,485,0.333333333,0.425894853
UNDERSTORY,Flacourtiace,Lindackeria,laurina,LINL,LINDLA,25,225,330,30,95,484,0.568376068,0.544590163
LIANA,Bignoniaceae,Arrabidaea,patellifera,ARRP,ARRAPA,27,886,17,28,106,477,0.111111111,0.154997235
MIDSTORY,Annonaceae,Annona,spraguei,ANNS,ANNOSP,25,2220,6,25,56,452,0.016,0.017711422
UNDERSTORY,Lecythidacea,Gustavia,superba,GUSS,GUSTSU,147,182,127,32,55,425,0.296703297,0.312589603
TREE,Clusiaceae,Calophyllum,longifolium,CAL2,CALOLO,161,145,193,31,69,405,0.333333333,0.34691693
TREE,Apocynaceae,Lacmellea,panamensis,LACP,LACMPA,53,315,99,32,111,401,0.327380952,0.314932796
UNDERSTORY,Simaroubacea,Picramnia,latifolia,PICL,PICRLA,180,161,155,9,17,397,0.333333333,0.325615465
TREE,Lauraceae,Ocotea,whitei,OCOS,OCOTWH,113,56,252,24,28,393,0.666666667,0.600644929
LIANA,Fabaceae:fab,Rhynchosia,pyramidalis,RHYP,RHYCPY,24,320,99,28,64,390,0.291666667,0.285600365
UNDERSTORY,Arecaceae,Astrocaryum,standleyanum,ASTS,AST1ST,143,70,240,30,32,387,0.421052632,0.504187065
TREE,Fabaceae:Pap,Lonchocarpus,heptaphyllus,LONL,LONCLA,244,7,139,19,51,362,0.357142857,0.405399915
LIANA,Hippocrateac,Anthodon,panamense,ANTP,ANTHPA,2,465,35,30,74,336,0.094117647,0.145912113
TREE,Lauraceae,Cinnamomum,triplinerve,PHOM,PHOECI,93,220,68,16,59,328,0.322916667,0.357648605
TREE,Vochysiaceae,Vochysia,ferruginea,VOCF,VOCHFE,15,185,141,18,6,313,0.442307692,0.422944498
UNDERSTORY,Myrtaceae,Eugenia,nesiotica,EUGN,EUGENE,43,73,167,21,35,275,0.4,0.456573072
TREE,Burseraceae,Trattinnicki,aspera,TRAA,TRATAS,34,681,24,32,164,271,0.066666667,0.12517248
SHRUB,Capparaceae,Capparis,frondosa,CAPF,CAPPFR,12,221,66,30,42,257,0.3,0.292972937
LIANA,Sapindaceae,Paullinia,baileyi,PAU1,PAULBA,40,130,116,27,68,253,0.4,0.46242249
TREE,Clusiaceae,Garcinia,madruno,RHEA,GAR2MA,7,27,220,4,6,251,0.616997354,0.616997354
SHRUB,Flacourtiace,Lacistema,aggregatum,LACA,LACIAG,161,30,73,14,17,250,0.333333333,0.427049236
